Slot Name,Model Name,Make Name,Slot Currency,Slot Reading Hour,Games Played This Hour,Dollars Player Bet,Dollars Player Lost,Theory Player Lost Amount,Slot Ideal Payback Percentage
Slot 181,Bluebird 2,Williams,$,2019-01-03 14:00:00,0,0.00000,0.00000,0.000000000,0.0806
Slot 298,AXXIS 23/23,IGT,$,2019-03-19 08:00:00,50,30.40000,9.65000,2.432000000,0.0800
Slot 200,Crystal Slant US $,IGT,$,2019-02-26 23:00:00,0,0.00000,0.00000,0.000000000,0.0755
Slot 298,AXXIS 23/23,IGT,$,2019-03-21 16:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 266,Roulette,ZUUM,C$,2019-02-26 23:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 266,Roulette,ZUUM,C$,2019-02-23 11:00:00,16,26.54280,-6.72660,1.061712000,0.0400
Slot 215,EGT - Premier,EGT,$,2019-02-16 16:00:00,18,2.95000,1.35000,0.170805000,0.0579
Slot 200,Crystal Slant US $,IGT,$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0755
Slot 298,AXXIS 23/23,IGT,$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 347,Oxygen Slant NIO C$,Atronic,C$,2019-03-16 02:00:00,364,226.48500,104.94900,26.294908500,0.1161
Slot 215,EGT - Premier,EGT,$,2019-03-05 15:00:00,870,605.30000,152.63000,35.046870000,0.0579
Slot 317,Emotion NIO Cord,Atronic,C$,2019-03-21 16:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 266,Roulette,ZUUM,C$,2019-03-19 08:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 215,EGT - Premier,EGT,$,2019-01-07 01:00:00,0,0.00000,0.00000,0.000000000,0.0579
Slot 181,Bluebird 2,Williams,$,2019-01-17 01:00:00,0,0.00000,0.00000,0.000000000,0.0806
Slot 347,Oxygen Slant NIO C$,Atronic,C$,2019-03-19 08:00:00,0,0.00000,0.00000,0.000000000,0.1161
Slot 298,AXXIS 23/23,IGT,$,2019-02-13 04:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 274,GK20 Slant,IGT,C$,2019-01-03 14:00:00,20,0.61160,0.30580,0.024464000,0.0400
Slot 323,Novastar II Nio c$,Novomatic,C$,2019-03-16 02:00:00,550,13.49985,5.11700,0.897740025,0.0665
Slot 291,Scorpion Nio,Novomatic,C$,2019-03-16 02:00:00,162,83.55760,47.72656,5.606714960,0.0671
Slot 124,Oxygen $,Atronic,$,2019-01-20 07:00:00,0,0.00000,0.00000,0.000000000,0.0673
Slot 124,Oxygen $,Atronic,$,2019-02-02 21:00:00,0,0.00000,0.00000,0.000000000,0.0673
Slot 155,EGT - Premier,EGT,$,2019-03-19 08:00:00,0,0.00000,0.00000,0.000000000,0.0599
Slot 106,CDS Reel Deal 10,CDS,C$,2019-03-09 09:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 192,Oxygen Slant,Atronic,$,2019-01-20 07:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 323,Novastar II Nio c$,Novomatic,C$,2019-03-19 08:00:00,307,23.22817,-6.51063,1.544673305,0.0665
Slot 106,CDS Reel Deal 10,CDS,C$,2019-01-03 15:00:00,190,40.51850,-2.44640,2.431110000,0.0600
Slot 106,CDS Reel Deal 10,CDS,C$,2019-01-20 08:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 241,GK10 Slant,IGT,C$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 155,EGT - Premier,EGT,$,2019-01-17 01:00:00,53,52.00000,20.00000,3.114800000,0.0599
Slot 155,EGT - Premier,EGT,$,2019-02-23 11:00:00,0,0.00000,0.00000,0.000000000,0.0599
Slot 291,Scorpion Nio,Novomatic,C$,2019-01-17 01:00:00,1649,234.48780,-28.67526,15.734131380,0.0671
Slot 106,CDS Reel Deal 10,CDS,C$,2019-02-16 16:00:00,184,26.45190,3.93900,1.587114000,0.0600
Slot 291,Scorpion Nio,Novomatic,C$,2019-02-06 06:00:00,0,0.00000,0.00000,0.000000000,0.0671
Slot 192,Oxygen Slant,Atronic,$,2019-02-02 21:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 192,Oxygen Slant,Atronic,$,2019-01-27 03:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 192,Oxygen Slant,Atronic,$,2019-01-30 11:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 274,GK20 Slant,IGT,C$,2019-03-05 15:00:00,350,11.32512,6.02400,0.453004800,0.0400
Slot 155,EGT - Premier,EGT,$,2019-03-05 15:00:00,0,0.00000,0.00000,0.000000000,0.0599
Slot 106,CDS Reel Deal 10,CDS,C$,2019-01-13 15:00:00,417,27.00214,4.89280,1.620128400,0.0600
Slot 323,Novastar II Nio c$,Novomatic,C$,2019-02-09 17:00:00,735,209.25180,27.90630,13.915244700,0.0665
Slot 155,EGT - Premier,EGT,$,2019-02-06 06:00:00,0,0.00000,0.00000,0.000000000,0.0599
Slot 274,GK20 Slant,IGT,C$,2019-01-07 01:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 323,Novastar II Nio c$,Novomatic,C$,2019-02-06 06:00:00,0,0.00000,0.00000,0.000000000,0.0665
Slot 155,EGT - Premier,EGT,$,2019-01-07 01:00:00,0,0.00000,0.00000,0.000000000,0.0599
Slot 324,Gaminator FV601-CF2,Novomatic,$,2019-01-03 15:00:00,0,0.00000,0.00000,0.000000000,0.0534
Slot 274,GK20 Slant,IGT,C$,2019-02-06 06:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 324,Gaminator FV601-CF2,Novomatic,$,2019-03-02 08:00:00,0,0.00000,0.00000,0.000000000,0.0534
Slot 324,Gaminator FV601-CF2,Novomatic,$,2019-03-12 14:00:00,0,0.00000,0.00000,0.000000000,0.0534
Slot 342,Oxygen $,Atronic,$,2019-03-16 02:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 291,Scorpion Nio,Novomatic,C$,2019-03-09 09:00:00,0,0.00000,0.00000,0.000000000,0.0671
Slot 241,GK10 Slant,IGT,C$,2019-02-06 06:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 324,Gaminator FV601-CF2,Novomatic,$,2019-02-23 11:00:00,0,0.00000,0.00000,0.000000000,0.0534
Slot 291,Scorpion Nio,Novomatic,C$,2019-01-10 08:00:00,0,0.00000,0.00000,0.000000000,0.0671
Slot 241,GK10 Slant,IGT,C$,2019-03-09 09:00:00,81,10.63236,3.01200,0.425294400,0.0400
Slot 291,Scorpion Nio,Novomatic,C$,2019-01-07 01:00:00,0,0.00000,0.00000,0.000000000,0.0671
Slot 291,Scorpion Nio,Novomatic,C$,2019-02-02 22:00:00,835,89.20320,16.20747,5.985534720,0.0671
Slot 323,Novastar II Nio c$,Novomatic,C$,2019-02-02 22:00:00,420,22.14930,-1.09080,1.472928450,0.0665
Slot 188,CDS Reel Deal 10,CDS,C$,2019-03-12 14:00:00,73,15.66240,2.56020,0.939744000,0.0600
Slot 270,GK20 Slant,IGT,C$,2019-02-02 21:00:00,564,29.23950,10.51410,2.543836500,0.0870
Slot 270,GK20 Slant,IGT,C$,2019-02-13 04:00:00,0,0.00000,0.00000,0.000000000,0.0870
Slot 270,GK20 Slant,IGT,C$,2019-03-16 01:00:00,569,38.40300,3.76500,3.341061000,0.0870
Slot 270,GK20 Slant,IGT,C$,2019-01-20 07:00:00,0,0.00000,0.00000,0.000000000,0.0870
Slot 270,GK20 Slant,IGT,C$,2019-03-02 07:00:00,0,0.00000,0.00000,0.000000000,0.0870
Slot 188,CDS Reel Deal 10,CDS,C$,2019-01-10 08:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 270,GK20 Slant,IGT,C$,2019-01-27 03:00:00,0,0.00000,0.00000,0.000000000,0.0870
Slot 270,GK20 Slant,IGT,C$,2019-02-16 15:00:00,529,27.02760,-3.72690,2.351401200,0.0870
Slot 134,MAV500,Aristocrat,$,2019-02-16 15:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 270,GK20 Slant,IGT,C$,2019-01-03 14:00:00,302,105.50100,0.61160,9.178587000,0.0870
Slot 188,CDS Reel Deal 10,CDS,C$,2019-02-23 11:00:00,362,108.92850,-70.75050,6.535710000,0.0600
Slot 188,CDS Reel Deal 10,CDS,C$,2019-01-07 01:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 270,GK20 Slant,IGT,C$,2019-03-12 14:00:00,185,12.77088,3.49392,1.111066560,0.0870
Slot 345,Oxygen Slant NIO C$,Atronic,C$,2019-03-21 16:00:00,124,4.38000,1.65000,0.538302000,0.1229
Slot 188,CDS Reel Deal 10,CDS,C$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 134,MAV500,Aristocrat,$,2019-01-23 14:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 188,CDS Reel Deal 10,CDS,C$,2019-01-23 15:00:00,169,6.51354,-0.91740,0.390812400,0.0600
Slot 270,GK20 Slant,IGT,C$,2019-01-23 15:00:00,170,9.23516,2.07944,0.803458920,0.0870
Slot 134,MAV500,Aristocrat,$,2019-01-23 15:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 188,CDS Reel Deal 10,CDS,C$,2019-03-02 08:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 188,CDS Reel Deal 10,CDS,C$,2019-02-09 17:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 188,CDS Reel Deal 10,CDS,C$,2019-01-17 01:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 188,CDS Reel Deal 10,CDS,C$,2019-02-06 06:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 134,MAV500,Aristocrat,$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 134,MAV500,Aristocrat,$,2019-03-16 02:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 345,Oxygen Slant NIO C$,Atronic,C$,2019-03-16 02:00:00,614,68.11680,3.04080,8.371554720,0.1229
Slot 188,CDS Reel Deal 10,CDS,C$,2019-03-16 02:00:00,54,16.26480,-13.55400,0.975888000,0.0600
Slot 270,GK20 Slant,IGT,C$,2019-01-17 01:00:00,0,0.00000,0.00000,0.000000000,0.0870
Slot 345,Oxygen Slant NIO C$,Atronic,C$,2019-03-19 08:00:00,0,0.00000,0.00000,0.000000000,0.1229
Slot 134,MAV500,Aristocrat,$,2019-01-03 14:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 134,MAV500,Aristocrat,$,2019-03-19 08:00:00,0,0.00000,0.00000,0.000000000,0.0500
